longitudine,latitudine
8.42311,45.329823
8.2122011,44.048706
9.2001219,45.472622
8.4225168,45.326614
8.822011,45.902447
8.379611,44.594917
8.1962738,44.899223
7.96345,45.079109
9.345047,44.309765
9.0861807,45.808666
7.1878033,44.692593
10.606606,45.501457
7.6851587,45.069107
9.4060822,46.321293
10.538859,45.472797
8.4687061,44.669643
8.4720125,44.673779
8.4505033,45.131607
7.3843441,44.779671
8.2909412,46.11665
7.9121733,44.482044
10.370174,46.474461
8.5660048,45.839119
9.6737223,45.700413
10.393765,45.411446
9.7546244,45.521214
8.3420858,44.336174
9.1946716,45.469849
7.5325336,44.245377
7.912178,44.148338
7.4000702,45.350548
9.6321278,45.609314
8.6825867,46.021339
9.0456705,44.382198
10.344453,46.030315
8.9175062,44.416271
7.6801543,45.074661
7.9888473,45.00806
8.1411562,43.949387
9.4153948,45.698383
8.4168262,45.967594
8.6690311,44.894829
8.9875984,44.563644
9.2345352,44.361061
9.885067,45.869473
8.6764832,44.822662
8.0386877,44.203884
10.202477,45.645515
9.9297028,45.937889
8.0118599,45.347775
10.789125,45.160988
9.2603579,44.451221
7.0153613,45.188931
8.4918566,44.478436
9.1807709,45.474072
7.7774,43.814953
7.6872149,45.385414
9.4151478,45.584812
7.3204241,45.743912
10.64589,45.148739
8.4978867,44.392353
9.3976183,45.859455
8.4148998,45.900925
8.2621965,44.128174
9.1188984,45.679497
10.475509,45.297504
9.8721867,45.398129
7.6750832,45.077301
7.633605,45.113125
7.8403206,44.552299
7.830193,44.388382
